Style,Style DescriptioItnem,Item DescriptioCnolor Color Descr Grid,Size,,,Variant,Made In,Department Gender,,Product FamilyProduct SubgroQutpy,,RRP,,Unit Price,Total Sell,WH Mov. Ref.,Carton No,EAN code,SKU Tariff code,,Unit Weight KG,Total Unit Weight,Material1 Material1 composition,Finish1 Material2,Material2 composition,,Finish2,Material3,,Material3 composition,Finish3,Lining Type,Lining Composition
601969,PARMEL 25324,BOVINE GRAINEF4D79 46812 AGATA 2314,7.5,,,F,IT,Shoes MENS,,SHOES DRIVER 1,,€4 20.00,,€7 5.60,€75.60,WFCH01/2023/03/1846-16,CH-2022-000118064,7612506450772,623795303164039992,,0.829,0.829,BOVINE M1:100%Bovine,GRAINEDCALF,M2:100%Calf,,PLAIN,,,M3:100%Polyethylene,,,LN:100%Calf
601969,PARMEL 25324,BOVINE GRAINEF4D79 46812 AGATA 2314,8,,,F,IT,Shoes MENS,,SHOES DRIVER 1,,€4 20.00,,€7 5.60,€75.60,WFCH01/2023/03/1846-16,CH-2022-000118064,7612506450789,623795303064039992,,0.829,0.829,BOVINE M1:100%Bovine,GRAINEDCALF,M2:100%Calf,,PLAIN,,,M3:100%Polyethylene,,,LN:100%Calf
601969,PARMEL 25324,BOVINE GRAINEF4D79 46812 AGATA 2314,8.5,,,F,IT,Shoes MENS,,SHOES DRIVER 1,,€4 20.00,,€7 5.60,€75.60,WFCH01/2023/03/1846-16,CH-2022-000118064,7612506450796,623795302964039992,,0.829,0.829,BOVINE M1:100%Bovine,GRAINEDCALF,M2:100%Calf,,PLAIN,,,M3:100%Polyethylene,,,LN:100%Calf
597252,M8FA119F-7S29065021,COTTON EMBRFO0I9D0ERED MULTIBLACK 39,56,,,,IT,Ready to WearMENS,,RTW ACCESSORBIAESEBALL CAP 4,,€175.00,,€3 1.50,€1 26.00,WFCH01/2023/03/1846-17,CH-2022-000118084,7612501247490,622944100562149000,,0.128,0.512,COTTON M1:70CO30PA,EMBROIDERED,,,,,,,,,L2:CO
597252,M8FA119F-7S29065021,COTTON EMBRFO0I9D0ERED MULTIBLACK 39,57,,,,IT,Ready to WearMENS,,RTW ACCESSORBIAESEBALL CAP 2,,€175.00,,€3 1.50,€63.00,WFCH01/2023/03/1846-17,CH-2022-000118084,7612501247506,622944100462149000,,0.128,0.256,COTTON M1:70CO30PA,EMBROIDERED,,,,,,,,,L2:CO
597252,M8FA119F-7S29065021,COTTON EMBRFO0I9D0ERED MULTIBLACK 39,58,,,,IT,Ready to WearMENS,,RTW ACCESSORBIAESEBALL CAP 3,,€175.00,,€3 1.50,€94.50,WFCH01/2023/03/1846-17,CH-2022-000118084,7612501247513,622944100362149000,,0.128,0.384,COTTON M1:70CO30PA,EMBROIDERED,,,,,,,,,L2:CO
597252,M8FA119F-7S29065021,COTTON EMBRFO0I9D0ERED MULTIBLACK 39,60,,,,IT,Ready to WearMENS,,RTW ACCESSORBIAESEBALL CAP 1,,€175.00,,€3 1.50,€31.50,WFCH01/2023/03/1846-17,CH-2022-000118084,7612501247537,622944100162149000,,0.128,0.128,COTTON M1:70CO30PA,EMBROIDERED,,,,,,,,,L2:CO
WOU00C,L5BA639F 7S319,JS0138.29 BR JEUR5S3E7Y BASICSOEASHELL 20 44,XL,,,,PT,Ready to WearLADIES,,RTW CLOTHINGT-SHIRT 1,,€1 85.00,,€3 3.30,€33.30,WFCH01/2023/03/1846-18,CH-2022-000124258,7617659583858,630124200461091000,,0.114,0.114,COTTON EX:Cotton,JERSEY,,,,,,,,,
602254,L5BA518F-7S33030317,COTTON PRINTFE6D27 PADDOCK 44,XL,,,,IT,Ready to WearLADIES,,RTW CLOTHINGT-SHIRT 1,,€2 00.00,,€3 6.00,€36.00,WFCH01/2023/03/1846-19,CH-2022-000124279,7612506434130,623766000361091000,,0.134,0.134,COTTON M1:89CO11NY,PRINTED,,,,,,,,,
597614,M5LR552K-8J4091368,MERINO KNITWFE2A52R DUSTY MARINE0/9GREY/WA50,,,,,IT,Ready to WearMENS,,RTW CLOTHINGSWEATER 1,,€3 50.00,,€6 3.00,€63.00,WFCH01/2023/03/1846-20,CH-2022-000124284,7612501552310,6233556006 1101100,,0.138,0.138,MERINO Wool,KNITWEAR,,,,,,,,,
597614,M5LR552K-8J4091368,MERINO KNITWFE2A52R DUSTY MARINE0/9GREY/WA52,,,,,IT,Ready to WearMENS,,RTW CLOTHINGSWEATER 1,,€3 50.00,,€6 3.00,€63.00,WFCH01/2023/03/1846-20,CH-2022-000124284,7612501552327,623355600561101100,,0.138,0.138,MERINO Wool,KNITWEAR,,,,,,,,,
600675,BLASS.BI.IFL 20719,CALF EMBOSSEFD037 MULTI BLUE SK2Y0,1,,,,BG,Accessories MENS,,ACC SLG PHONE WALLET 42,,€395.00,,€7 1.10,"€2 ,986.20",WFCH01/2023/03/1846-21,CH-2022-000118053,7612501805409,623639300142023100,,0.222,9.324,CALF EX:Calf,EMBOSSECDALF,,,,,,,,,LN:53Polyester47Nylon Rec.
596888,KOLMER 35 M 22567,BOVINE SPLIT PFL8A1I0N BLACK 19,110,,,,IT,Accessories MENS,,ACC BELTS ADJUSTABLE/REVERSIBL1,,€250.00,,€4 5.00,€45.00,WFCH01/2023/03/1846-22,CH-2022-000100453,7612501230263,622904400142033000,,0.188,0.188,BOVINE SPLIMT 1:YB92PU08,PLAIN BOVINE SPLIMT 2:YB92PU08,,,,,,,,,
600018,L3OU288F-9S20224.8O30,POLYESTER EMFB7R1O3IDEREDNAVY 15,42,,,,RO,Ready to WearLADIES,,RTW CLOTHINGBOMBER/BLOUSON 4,,€650.00,,€1 17.00,€4 68.00,WFCH01/2023/03/1846-23,CH-2022-000100482,7612501667533,623430900462024000,,0.454,1.816,POLYESTER Polyester,EMBROIDERED,,,,,,,,,
600018,L3OU288F-9S20224.8O30,POLYESTER EMFB7R1O3IDEREDNAVY 15,44,,,,RO,Ready to WearLADIES,,RTW CLOTHINGBOMBER/BLOUSON 1,,€650.00,,€1 17.00,€1 17.00,WFCH01/2023/03/1846-23,CH-2022-000100482,7612501667540,623430900362024000,,0.454,0.454,POLYESTER Polyester,EMBROIDERED,,,,,,,,,
